Location,Unit,Disturbance,Tag,Age,Height_cm,Extension_growth_cm,DRC_mm,nleaves,nlive_branches,ndead_branches,Herbivory_pct,Pathogen_damage_pct,colonized_tips,uncolonized_tips
SB,5/15,C,1,NA,13.9,0.8,2.36,10,3,1,5,15,24,47
SB,5/15,C,2,6,21.8,5,6.46,18,5,4,20,10,16,44
SB,5/15,C,3,6,9.6,0.9,3.45,6,2,2,1,1,21,39
SB,5/15,C,4,6,21.7,0.9,5.07,6,2,1,1,5,2,48
SB,5/15,C,5,6,17.4,1.8,1.91,3,1,1,0,10,0,10
SB,5/15,C,6,6,14.8,1.8,1.75,2,1,3,5,10,6,14
SB,5/15,C,7,6,22.2,2.5,8.24,10,3,6,2,1,20,40
SB,5/15,C,8,6,20.1,2.1,2.93,3,1,3,10,30,48,12
SB,5/15,C,9,6,15.2,2.1,2.77,8,3,1,10,15,32,28
HOG,28/2,B,1,3,10.8,2.6,4.72,9,3,4,5,25,32,28
HOG,28/2,B,2,4,30.5,18.2,6.92,12,2,4,15,8,23,37
HOG,28/2,B,3,5,36.6,10.9,18.08,72,5,2,10,10,2,58
HOG,28/2,B,4,3,25,17.5,6.64,11,2,1,25,0,28,32
HOG,28/2,B,5,2,10.5,1.1,2.09,5,1,0,15,5,17,43
HOG,28/2,B,6,6,38,17,9.75,53,4,1,15,25,17,43
HOG,28/2,B,7,2,18,3.7,1.66,7,2,0,50,40,26,34
HOG,28/2,B,8,4,16.2,2.2,2.63,8,2,1,5,2,23,37
HOG,28/2,B,9,5,28.5,16.8,6.86,40,4,5,40,10,18,42
HOG,3/1,C,1,2,15.8,1.4,2.1,7,2,1,35,0,13,45
HOG,3/1,C,2,5,33.5,0.6,4.67,8,2,1,35,30,20,40
HOG,3/1,C,3,6,39.4,1.7,6.83,20,3,2,20,5,5,55
HOG,3/1,C,4,3,39.9,6.7,3.78,8,2,2,1,0,36,24
HOG,3/1,C,5,2,17.9,0.8,1.83,5,2,1,10,0,11,49
HOG,3/1,C,6,3,17.5,1,2.48,7,2,2,15,30,19,41
HOG,3/1,C,7,2,16,0.5,2.68,2,1,1,0,2,26,34
HOG,3/1,C,8,4,25.4,3.2,4.88,11,4,9,5,5,19,41
HOG,3/1,C,9,5,41.1,4.2,5.3,24,3,3,15,5,21,39
HOG,12/2,C,1,3,12.1,1.2,3.53,4,1,1,0,0,0,27
HOG,12/2,C,2,2,11.3,0.6,1.46,6,1,0,2,0,22,36
HOG,12/2,C,3,5,24.1,2.7,3.02,5,1,1,3,10,33,27
HOG,12/2,C,4,6,63.2,4.9,5.03,22,3,3,2,10,36,24
HOG,12/2,C,5,3,18.1,4.5,1.86,4,1,0,10,0,26,34
HOG,12/2,C,6,2,10.3,1.4,2.99,6,2,3,10,5,19,41
HOG,12/2,C,7,6,24.9,14.1,3.91,5,1,3,0,0,36,24
HOG,12/2,C,8,4,28.4,1.2,2.85,6,1,1,2,40,17,43
HOG,12/2,C,9,2,15.2,3.2,3.96,4,1,1,0,0,20,40
SB,3/16,B,1,6,18.1,6.2,4.66,5,1,0,2,2,33,28
SB,3/16,B,2,6,25.5,13,9.27,29,6,1,10,20,39,11
SB,3/16,B,3,6,16.1,3,2.44,5,1,2,2,5,36,24
SB,3/16,B,4,5,13.4,2.4,3.4,7,2,1,1,10,19,41
SB,3/16,B,5,6,39.1,11.4,5.74,30,8,2,7,10,33,27
SB,3/16,B,6,2,8.4,0.5,2.01,3,1,0,10,60,10,52
SB,3/16,B,7,6,24.2,11,5.11,8,1,1,5,5,39,21
SB,3/16,B,8,5,7.7,1.3,2.45,3,1,2,0,20,3,24
SB,3/16,B,9,6,91.7,23.9,16.82,38,10,13,15,20,11,49
HOG,20/2,B,1,2,13.2,0.9,1.69,4,1,0,1,0,16,42
HOG,20/2,B,2,4,24.6,6.2,3.61,13,3,0,5,20,15,45
HOG,20/2,B,3,2,11.7,2.1,2.75,13,1,1,15,15,4,56
HOG,20/2,B,4,3,19.5,3.8,4.74,17,2,1,8,5,19,41
HOG,20/2,B,5,2,11.1,2.3,5.48,17,1,1,2,10,38,22
HOG,20/2,B,6,4,23.6,5.4,5.03,13,2,0,15,35,13,47
HOG,20/2,B,7,2,12.8,2.7,3.51,9,2,0,2,5,31,29
HOG,20/2,B,8,5,19.4,2.5,4.02,9,1,1,1,50,12,48
HOG,20/2,B,9,3,12.3,4.2,2.5,16,2,1,2,2,15,45
CF,NA,B,1,3,12.8,6.8,4.04,3,1,1,2,0,2,58
