"Pair","Disturbance","Genus","dbhClass","Condition","m2ha"
"1","B","A. beech","30-40","Alive",0.545445214879136
"1","B","Birches","30-40","Alive",0.350794759702764
"1","B","Birches","40-50","Alive",0.333275021764395
"1","B","Maples","30-40","Alive",1.90619536659444
"1","B","Maples","40-50","Alive",0.625039340398329
"1","B","Maples","50-60","Alive",0.843603487858822
"1","B","Maples",">60","Alive",1.53719147340181
"1","B","Others","30-40","Dead",0.149388228121723
"1","B","Others","30-40","Alive",2.13542620566491
"1","B","Others","40-50","Alive",2.24977344275483
"1","B","Others","50-60","Alive",1.41043360122988
"1","B","Others",">60","Alive",0.834189829482009
"1","B","R. oak","30-40","Alive",2.1212201118389
"1","B","R. oak","40-50","Alive",1.69737215100334
"1","B","R. oak","50-60","Alive",5.1374756499884
"1","B","R. oak",">60","Alive",4.32793436299376
"1","B","W. pine","40-50","Alive",0.982114417817477
"1","B","W. pine","50-60","Alive",1.5495627144523
"1","B","W. pine",">60","Alive",3.42515043371534
"1","C","A. beech","30-40","Alive",0.449118441536174
"1","C","Maples","30-40","Alive",0.629618863623691
"1","C","Maples","40-50","Alive",0.805027969457697
"1","C","Maples","50-60","Alive",0.594629651369101
"1","C","Others","30-40","Alive",0.255759293727259
"1","C","R. oak","30-40","Alive",4.29306873469087
"1","C","R. oak","40-50","Alive",6.1857818563193
"1","C","R. oak","50-60","Alive",5.03242698536717
"1","C","R. oak",">60","Alive",0.819558438218783
"1","C","W. pine","30-40","Alive",0.344357326994472
"1","C","W. pine","40-50","Alive",0.454020626912632
"1","C","W. pine","50-60","Alive",1.15149182311726
"1","C","W. pine",">60","Alive",1.98543942541888
"2","B","A. beech","30-40","Dead",1.18273179799303
"2","B","A. beech","30-40","Alive",0.508417317930327
"2","B","A. beech","40-50","Dead",0.531730275671843
"2","B","Birches","30-40","Dead",0.413433224848977
"2","B","Maples","30-40","Dead",0.700585509237584
"2","B","Maples","30-40","Alive",1.01075720229417
"2","B","Maples","40-50","Alive",1.90120767164661
"2","B","Maples","50-60","Alive",0.835747115626056
"2","B","R. oak","30-40","Alive",0.463359148048843
"2","B","R. oak","40-50","Alive",2.69530952859784
"2","B","R. oak","50-60","Alive",1.00800558295647
"2","B","R. oak",">60","Alive",2.62838356564458
"2","C","A. beech","30-40","Dead",0.324480758775388
"2","C","A. beech","30-40","Alive",0.324480758775388
"2","C","A. beech","40-50","Dead",0.764805121776214
"2","C","Aspens","40-50","Alive",0.693121620816065
"2","C","Maples","30-40","Alive",1.32656976875659
"2","C","Maples","40-50","Dead",0.761615114316606
"2","C","Maples","40-50","Alive",3.14669069164776
"2","C","Maples","50-60","Alive",1.1800860928815
"2","C","Others","30-40","Alive",0.401364271895399
"2","C","R. oak","30-40","Alive",0.345614141527648
"2","C","R. oak","40-50","Alive",1.47322011168808
"2","C","R. oak","50-60","Alive",6.01132072371655
"2","C","R. oak",">60","Alive",3.70733200266796
"3","B","Birches","50-60","Alive",0.87040536871495
"3","B","Maples","30-40","Dead",0.324480758775388
"3","B","R. oak","30-40","Dead",0.935018853142363
"3","B","R. oak","30-40","Alive",1.54207693937158
"3","B","R. oak","40-50","Dead",0.800335204860809
"3","B","R. oak","40-50","Alive",10.3520575408904
"3","B","R. oak","50-60","Alive",9.77577952663818
"3","B","R. oak",">60","Alive",2.82647327617524
"3","B","W. pine","50-60","Alive",1.19600613010938
"3","C","A. beech","30-40","Alive",1.55032140309513
"3","C","A. beech","40-50","Alive",1.29695858840182
"3","C","Maples","30-40","Alive",0.246420576237152
"3","C","Maples","40-50","Alive",1.66475722625079
"3","C","Maples","50-60","Alive",1.38887880335076
"3","C","Maples",">60","Alive",0.962144472129267
"3","C","R. oak","30-40","Alive",0.353780827291533
"3","C","R. oak","40-50","Alive",4.18358311634763
"3","C","R. oak","50-60","Alive",5.13062755316653
"3","C","R. oak",">60","Alive",4.21377207583127
"4","B","A. beech","30-40","Dead",0.959446429644374
"4","B","A. beech","30-40","Alive",0.24715406632446
"4","B","A. beech","40-50","Dead",0.785978582141572
"4","B","Birches","30-40","Alive",0.528345421545047
"4","B","Birches","40-50","Dead",0.458456886022608
"4","B","Maples","30-40","Dead",0.487733698670418
"4","B","Maples","30-40","Alive",0.693173713961137
"4","B","Maples","50-60","Alive",0.809536776765634
"4","B","R. oak","30-40","Dead",0.806427467169151
"4","B","R. oak","30-40","Alive",1.76943437025572
"4","B","R. oak","40-50","Dead",1.0472698908273
"4","B","R. oak","40-50","Alive",4.97067208868267
"4","B","R. oak","50-60","Alive",2.92779056736215
"4","B","R. oak",">60","Alive",3.50178958403701
"4","C","A. beech","30-40","Alive",1.3374768118058
"4","C","Birches","30-40","Alive",0.489606408067977
"4","C","Birches","40-50","Alive",0.884738911004858
"4","C","Maples","30-40","Alive",2.50325848527251
"4","C","Maples","40-50","Alive",1.0328918890291
"4","C","Others","40-50","Alive",3.11168622382737
"4","C","Others","50-60","Alive",1.33692944210476
"4","C","R. oak","30-40","Alive",1.42796649709376
"4","C","R. oak","40-50","Alive",2.45673206068427
"4","C","R. oak","50-60","Alive",3.36204996718008
"4","C","R. oak",">60","Alive",2.56423757523623
